view,seed,modularity,communities,salt_community_size,salt_participation,salt_community_jaccard_vs_seed0
validated_probable_no_concept,6,0.7736454250524801,15,39,0.4385633270321362,0.7948717948717948
validated_probable_no_concept,7,0.7776089605261226,14,35,0.4385633270321362,0.8857142857142857
validated_probable_no_concept,8,0.7761923635883208,14,31,0.499054820415879,1.0
validated_probable_no_concept,9,0.7799650621687879,14,31,0.499054820415879,1.0
validated_probable_no_concept,10,0.7778878759853789,15,31,0.499054820415879,1.0
validated_probable_no_concept,11,0.7799650621687879,14,31,0.499054820415879,1.0
validated_probable_no_concept,12,0.7736454250524801,15,39,0.4385633270321362,0.7948717948717948
validated_probable_no_concept,13,0.7778878759853789,15,31,0.499054820415879,1.0
validated_probable_no_concept,14,0.7778878759853789,15,31,0.499054820415879,1.0
validated_probable_no_concept,15,0.7797448657535855,13,31,0.499054820415879,1.0
validated_probable_no_concept,16,0.7803981151186858,15,31,0.499054820415879,1.0
validated_probable_no_concept,17,0.7736454250524801,15,39,0.4385633270321362,0.7948717948717948
validated_probable_no_concept,18,0.7801779187034834,14,31,0.499054820415879,1.0
validated_probable_no_concept,19,0.7761923635883208,14,31,0.499054820415879,1.0
validated_trade_only,0,0.7898249758674999,18,37,0.39349112426035504,1.0
validated_trade_only,1,0.7888554420904672,18,37,0.39349112426035504,1.0
validated_trade_only,2,0.7896069366119663,17,37,0.39349112426035504,1.0
validated_trade_only,3,0.7889231824417009,18,37,0.39349112426035504,1.0
validated_trade_only,4,0.7889761045911022,18,37,0.39349112426035504,1.0
validated_trade_only,5,0.7888554420904672,18,37,0.39349112426035504,1.0
validated_trade_only,6,0.784634371454216,20,48,0.5443786982248521,0.3492063492063492
validated_trade_only,7,0.7894439363918102,17,40,0.3875739644970414,0.7906976744186046
validated_trade_only,8,0.7891010008636895,17,43,0.33431952662721887,0.8604651162790697
validated_trade_only,9,0.7836648376771833,20,48,0.5443786982248521,0.3492063492063492
validated_trade_only,10,0.784634371454216,20,48,0.5443786982248521,0.3492063492063492
validated_trade_only,11,0.7891856763027316,18,37,0.39349112426035504,1.0
validated_trade_only,12,0.7836754221070636,20,43,0.5443786982248521,0.3793103448275862
validated_trade_only,13,0.7884722857288015,16,43,0.33431952662721887,0.8604651162790697
validated_trade_only,14,0.7871513488797439,17,40,0.3875739644970414,0.7906976744186046
validated_trade_only,15,0.7834467984216498,19,48,0.5443786982248521,0.3492063492063492
validated_trade_only,16,0.7900832359565784,17,40,0.3875739644970414,0.7906976744186046
validated_trade_only,17,0.7850598655354029,21,43,0.5443786982248521,0.3793103448275862
validated_trade_only,18,0.7888554420904672,18,37,0.39349112426035504,1.0
validated_trade_only,19,0.7874646480041999,18,40,0.3875739644970414,0.7906976744186046
validated_probable_trade_only,0,0.7996812991124427,17,44,0.3875739644970414,1.0
validated_probable_trade_only,1,0.7998137967098197,17,44,0.3875739644970414,1.0
validated_probable_trade_only,2,0.7958618350387245,19,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,3,0.796840550624682,19,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,4,0.8005575498897619,18,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,5,0.7958159025383006,18,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,6,0.8002960879642715,18,44,0.3875739644970414,1.0
validated_probable_trade_only,7,0.8002660551755327,16,48,0.33431952662721887,0.9166666666666666
validated_probable_trade_only,8,0.800511617389338,19,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,9,0.796054398213579,19,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,10,0.7954449092656453,18,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,11,0.8018524930747922,18,44,0.3875739644970414,1.0
validated_probable_trade_only,12,0.8013808016281304,19,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,13,0.8009338430663123,18,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,14,0.8009850754706314,18,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,15,0.801624597207304,19,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,16,0.8007112471027191,17,42,0.39349112426035504,0.7916666666666666
validated_probable_trade_only,17,0.8020273899033297,19,44,0.3875739644970414,1.0
validated_probable_trade_only,18,0.7959219006162022,20,59,0.44378698224852076,0.4507042253521127
validated_probable_trade_only,19,0.8005522499858669,18,44,0.3875739644970414,1.0
