view,run,removed,degree,strength,largest_component_nodes,components,global_efficiency_loss
validated_probable,62,goods,2,3.0,519,119,0.0002165863633198789
validated_probable,63,the salt from this place,1,1.0,520,119,-0.00019028927290547226
validated_probable,64,duties on goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,65,british capital,1,1.0,520,119,-0.00019028927290547226
validated_probable,66,argol (yak-dung),1,1.0,520,119,-0.0001887556622953701
validated_probable,67,manufactured goods,2,2.0,517,120,0.0005815221668516168
validated_probable,68,woolen blankets,1,1.0,519,119,0.00010565785145770501
validated_probable,69,"beds, warm clothes, and provisions",1,1.0,520,119,-0.00018466603400167647
validated_probable,70,pack-horses,2,2.0,518,120,0.00048625297859106187
validated_probable,71,refined salt,1,1.0,520,119,-0.00019028927290548614
validated_probable,72,mining and minerals,1,1.0,519,119,0.00016757666061389953
validated_probable,73,"sugar, tea, stearine candles, petroleum, leather trunks, saddles, and so forth",1,1.0,519,119,6.723300695765655e-05
validated_probable,74,salt mining in the punjab,1,1.0,520,119,-0.00019028927290548614
validated_probable,75,grain-salt-rice circuit,1,1.0,519,119,0.00017711403672779347
validated_probable,76,tsakalho salt taxes,1,1.0,519,119,0.00010386863907725641
validated_probable,77,their salt onward to leh,1,1.0,520,119,-0.00019028927290548614
validated_probable,78,porcelain cups,1,1.0,520,119,-0.00019028927290548614
validated_probable,79,tibetan salt trade,1,1.0,520,119,-0.0001869664499168644
validated_probable,80,mandi salt sources,1,1.0,519,119,9.911506753058907e-05
validated_probable,81,tibetan salt,2,2.0,520,120,-0.00018134321101305473
validated_probable,82,cultivator,1,1.0,520,119,-0.00019028927290548614
validated_probable,83,salt market,1,1.0,519,119,5.5497898235487564e-05
validated_probable,84,mining and minerals,1,1.0,519,119,0.00016757666061389953
validated_probable,85,mandi salt sources,1,1.0,519,119,9.911506753058907e-05
validated_probable,86,coarse wool,1,1.0,519,119,5.765937165205792e-05
validated_probable,87,goods imported and expo.rtoa,1,1.0,520,119,-0.00018466603400167647
validated_probable,88,tibetan salt trade,1,1.0,520,119,-0.0001869664499168644
validated_probable,89,foodgrains,3,3.0,520,121,-0.0001795539986345629
validated_probable,90,woolen blankets,1,1.0,519,119,0.00010565785145770501
validated_probable,91,wheat,1,1.0,519,119,7.308913030815156e-05
validated_probable,92,fish,2,3.0,513,120,0.000823070970773776
validated_probable,93,movement of goods,1,1.0,520,119,-0.00019028927290550002
validated_probable,94,"agricultural advances, chiefly seed-grain",1,1.0,519,119,9.681465161537339e-05
validated_probable,95,distribution of salt,1,1.0,520,119,-0.00019028927290548614
validated_probable,96,salt production,1,1.0,520,119,-0.00019028927290550002
validated_probable,97,chang-luk sheep,2,2.0,518,120,0.0003571028864784165
validated_probable,98,a young yak,1,1.0,519,119,0.00012527224430126938
validated_probable,99,the salt from tso kar,1,1.0,519,119,4.9286256060862565e-05
validated_probable,100,mandi rock salt,1,1.0,520,119,-0.00019028927290548614
validated_no_concept,1,goats,1,1.0,129,84,0.0002889013844396063
validated_no_concept,2,grains,1,1.0,130,84,-0.00024413824090594588
validated_no_concept,3,semi-luxuries like tea and rice,1,1.0,129,84,0.00044118039693478994
validated_no_concept,4,charas,1,1.0,130,84,-0.00019114968643373087
validated_no_concept,5,cloth,2,2.0,129,84,0.000297732810185046
validated_no_concept,6,goods,1,1.0,129,84,0.0004264613540259851
validated_no_concept,7,grain,2,2.0,130,85,-0.0002176439636698696
validated_no_concept,8,pack-horses,2,2.0,128,85,0.0009487771052519023
validated_no_concept,9,woolen goods,1,1.0,130,84,-0.00021175634650622693
validated_no_concept,10,tea,4,4.0,127,86,0.0012677878285654656
validated_no_concept,11,buckets,1,1.0,130,84,-0.00022500348512428936
validated_no_concept,12,porcelain cups,1,1.0,130,84,-0.00024413824090592506
