view,node,type,degree_in_lcc,salt_neighbor
validated_probable_no_concept,hindu villages in middle-ranges,LOCATION,1,False
validated_probable_no_concept,jumla and botechaur,LOCATION,1,True
validated_probable_no_concept,salt lakes,LOCATION,1,True
validated_probable_no_concept,semi-luxuries like tea and rice,COMMODITY,1,True
validated_probable_no_concept,sub-montane markets,LOCATION,1,False
validated_probable_no_concept,the sheep,COMMODITY,1,False
validated_probable_no_concept,tibetan changpas,GROUP,1,True
validated_probable_no_concept,tibetan partners,GROUP,1,True
validated_probable_no_concept,tibetan trade-centre of taklakot,LOCATION,1,False
validated_probable_no_concept,trade with the bhotias,GROUP,1,False
validated_probable_no_concept,tsakalho salt taxes,COMMODITY,1,False
validated_probable_no_concept,villagers in khasan and bhot,GROUP,1,False
validated_probable_no_concept,woolen goods,COMMODITY,1,False
validated_trade_only,salt,COMMODITY,35,False
validated_trade_only,tibetans,GROUP,27,True
validated_trade_only,bhotias,GROUP,18,True
validated_trade_only,tarangpurians,CONCEPT,15,True
validated_trade_only,traders,GROUP,8,True
validated_trade_only,sheep,COMMODITY,5,False
validated_trade_only,himalayan farmers,GROUP,4,True
validated_trade_only,lhomis,CONCEPT,4,False
validated_trade_only,livestock,COMMODITY,4,False
validated_trade_only,tarakot,LOCATION,4,False
validated_trade_only,goats,COMMODITY,3,False
validated_trade_only,cash crops and pastoral goods,COMMODITY,2,False
validated_trade_only,"grain, salt, and borrr",COMMODITY,2,False
validated_trade_only,nomads of the lake area,GROUP,2,True
validated_trade_only,pack-horses,COMMODITY,2,False
validated_trade_only,people of lo,GROUP,2,False
validated_trade_only,q e tibetans,GROUP,2,True
validated_trade_only,shepherds,GROUP,2,True
validated_trade_only,sherpa merchants,GROUP,2,False
validated_trade_only,the desert,CONCEPT,2,True
validated_trade_only,amdowa tribes,GROUP,1,True
validated_trade_only,availability of a reasonable amount of cash,COMMODITY,1,False
validated_trade_only,baggage animals,COMMODITY,1,False
validated_trade_only,baragaon,LOCATION,1,False
validated_trade_only,bhot to the terai,CONCEPT,1,False
validated_trade_only,bhotias of panchsati and barthapale,GROUP,1,True
validated_trade_only,butwal,LOCATION,1,False
validated_trade_only,caravans,CONCEPT,1,False
validated_trade_only,chinese and mongols,GROUP,1,False
validated_trade_only,chinu millet,COMMODITY,1,False
validated_trade_only,"cloth, chinese porcelain cups, and knives",COMMODITY,1,False
validated_trade_only,commodities circuit,CONCEPT,1,False
validated_trade_only,daily wages,CONCEPT,1,False
validated_trade_only,drokpas,GROUP,1,False
validated_trade_only,fresh supplies of food,CONCEPT,1,False
validated_trade_only,goods,COMMODITY,1,False
validated_trade_only,grain-salt-rice circuit,CONCEPT,1,True
validated_trade_only,grazing grounds high above the villages,LOCATION,1,False
validated_trade_only,imports from tibet,CONCEPT,1,False
validated_trade_only,jansung district,LOCATION,1,False
validated_trade_only,jumla and botechaur,LOCATION,1,True
validated_trade_only,kamali zone,CONCEPT,1,False
validated_trade_only,karakoram,LOCATION,1,False
validated_trade_only,kudo,CONCEPT,1,False
validated_trade_only,mass (with powdered cheese),CONCEPT,1,False
validated_trade_only,middle hills,CONCEPT,1,False
validated_trade_only,mountains of sand,CONCEPT,1,False
validated_trade_only,other villages of tichurong,LOCATION,1,False
validated_trade_only,pass in the east,LOCATION,1,False
validated_trade_only,peasant families,CONCEPT,1,False
validated_trade_only,rosaries,CONCEPT,1,False
validated_trade_only,russians,GROUP,1,False
validated_trade_only,salt lakes,LOCATION,1,True
validated_trade_only,semi-luxuries like tea and rice,COMMODITY,1,True
validated_trade_only,sheep and goats or horses,COMMODITY,1,False
validated_trade_only,spiritual concerns,CONCEPT,1,False
validated_trade_only,sub-montane markets,LOCATION,1,False
validated_trade_only,"takayama, ryuzo",CONCEPT,1,False
validated_trade_only,tarakot's trade passing through tibrikot,CONCEPT,1,False
validated_trade_only,tea-caravan,COMMODITY,1,False
validated_trade_only,thakali families,CONCEPT,1,True
validated_trade_only,the south and west,CONCEPT,1,False
validated_trade_only,the water,CONCEPT,1,True
validated_trade_only,tibetan changpas,GROUP,1,True
validated_trade_only,tibetan fountainhead of teaching,CONCEPT,1,False
validated_trade_only,tibetan luxury goods,COMMODITY,1,False
validated_trade_only,tibetan partners,GROUP,1,True
validated_trade_only,tibetan trade-centre of taklakot,LOCATION,1,False
validated_trade_only,trade with the bhotias,GROUP,1,False
validated_trade_only,two sheep,COMMODITY,1,False
validated_trade_only,wealth,CONCEPT,1,False
validated_trade_only,woolen goods,COMMODITY,1,False
validated_trade_only,yak-caravan,COMMODITY,1,False
validated_probable_trade_only,salt,COMMODITY,35,False
validated_probable_trade_only,rupshu,LOCATION,11,True
validated_probable_trade_only,traders,GROUP,8,True
validated_probable_trade_only,purangbas,CONCEPT,7,True
validated_probable_trade_only,barley,COMMODITY,5,True
validated_probable_trade_only,men,GROUP,5,True
validated_probable_trade_only,chang-pa,GROUP,4,True
validated_probable_trade_only,livestock,COMMODITY,4,False
validated_probable_trade_only,nomads,GROUP,4,True
validated_probable_trade_only,tso kar,LOCATION,4,False
validated_probable_trade_only,zanskaris,GROUP,4,True
validated_probable_trade_only,humlis,GROUP,3,True
validated_probable_trade_only,rice,COMMODITY,3,False
validated_probable_trade_only,cash crops and pastoral goods,COMMODITY,2,False
validated_probable_trade_only,europe,LOCATION,2,False
validated_probable_trade_only,khaltse,LOCATION,2,False
validated_probable_trade_only,manufactured goods,COMMODITY,2,False
validated_probable_trade_only,nomads of the lake area,GROUP,2,True
validated_probable_trade_only,the desert,CONCEPT,2,True
validated_probable_trade_only,tichurong people,GROUP,2,True
validated_probable_trade_only,amdowa tribes,GROUP,1,True
validated_probable_trade_only,availability of a reasonable amount of cash,COMMODITY,1,False
validated_probable_trade_only,azem,CONCEPT,1,False
validated_probable_trade_only,baskets to the owner’s house,CONCEPT,1,False
validated_probable_trade_only,bhoti bhotias,GROUP,1,False
validated_probable_trade_only,bhotias of panchsati and barthapale,GROUP,1,True
validated_probable_trade_only,"buckwheat, turnips, or other vegetables",COMMODITY,1,False
validated_probable_trade_only,chala people,GROUP,1,False
validated_probable_trade_only,chinese authorities,GROUP,1,False
validated_probable_trade_only,dozum fair,LOCATION,1,False
validated_probable_trade_only,grain-salt-rice circuit,CONCEPT,1,True
validated_probable_trade_only,jumla and botechaur,LOCATION,1,True
validated_probable_trade_only,kamali zone,CONCEPT,1,False
validated_probable_trade_only,kashmiri shawl,LOCATION,1,False
validated_probable_trade_only,kharnak,LOCATION,1,False
validated_probable_trade_only,local chetris,GROUP,1,False
validated_probable_trade_only,long dagger,COMMODITY,1,False
