node,weighted_degree,weighted_in_degree,weighted_out_degree,betweenness,closeness,eigenvector
tibetan horses,1.0,0,1.0,0.0,0.0,1.5482994773280027e-08
tibetan official,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
tibetan partners,1.0,0,1.0,0.0,0.0,0.11581511544824878
tibetan salt,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
tibetan women,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
tibetans,3.0,0,3.0,0.0,0.0,1.3183330057046778e-09
tika ruder sen,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
to be emphasised about himalayan marriage,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
to the borders of tibet,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
traders and others,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
traders from the plains,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
tsakalho,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
tukuche,1.0,0,1.0,0.0,0.0,3.305649462996618e-11
village,2.0,1.0,1.0,2.589868434683518e-05,0.005076142131979695,4.674894303021156e-11
village boundaries,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
village deity,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
wazeers,1.0,0,1.0,0.0,0.0,7.611399157251647e-10
with the emergent indian nation,1.0,1.0,0,0.0,0.005076142131979695,3.305649462996618e-11
women,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
wool of the pastoralists,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
yak,5.0,0,5.0,0.0,0.0,0.070290244722563
yak butter,1.0,1.0,0,0.0,0.005076142131979695,2.901604225017118e-13
zhao erfeng,1.0,0,1.0,0.0,0.0,2.901604225017118e-13
