node,weighted_degree,weighted_in_degree,weighted_out_degree,pagerank,betweenness,closeness,eigenvector
aksai chin and lingzithang,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
aksai chin plateau,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.00451264025829201
aksai chin since mid-1950s,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
aksakal,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.0003619441828421539
alchi,12.0,5.0,7.0,0.0012279633630395868,5.950111023662509e-06,0.0015439378993867133,2.674432079622306e-29
alchi and lamayuru,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
alchi chos-kor,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
alchi murals,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
alchi paintings,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
alchi's maintenance,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
alexander csoma de koros,2.0,0,2.0,0.00020559983644291994,0.0,0.0,0.05151402154420503
alexander cunningham,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
ali mir,3.0,2.0,1.0,0.0004385235439843525,1.8030639465643968e-07,0.0006004202942059442,1.3986773948575415e-39
ali tsering,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
all over the tibetan cultural area,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
all the old balti enthusiasm for polo,1.0,1.0,0,0.00022306911450852736,0.0,0.0003002101471029721,7.350706401599352e-32
all the others,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
all too rare in many gompas,1.0,1.0,0,0.00022777666662739503,0.0,0.0004503152206544581,2.5300036368486513e-29
alluvial silt,1.0,1.0,0,0.0003673960384291045,0.0,0.0004002801961372961,4.818261828826402e-42
almost absent in central ladakh,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
almost all of these,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
almost sheer ravine,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,2.146119231215031e-05
along the surprisingly broad and gracious main bazaar of leh,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
along_road_and_river_banks,2.0,2.0,0,0.0005549853977550687,0.0,0.0006004202942059442,8.194419496924599e-45
alpine pastures,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"alternative village, some 12 or 15 kilometres out of leh",1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
amchi health workers,1.0,1.0,0,0.0003134639711003763,0.0,0.0004002801961372961,7.867560346073668e-40
amchis,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
amicable relations,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
among residents of surrounding villages,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
among the lamas,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
an enormous variety of landscapes,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
an informed appreciation of some facet of ladakh's life and civilization,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
an organization,1.0,1.0,0,0.00024053839257413481,0.0,0.0003002101471029721,4.893081202719235e-38
an unusually delicate wall painting of a goddess,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,1.0091069647935008e-36
ancestral vocation,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
ancient cult altogether,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
ancient province of guge,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
ancient society,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
"ancient tibetan royal house, the line of sron-tsan-gam-po",1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
and carried away by the ladakhis,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
and few of them have settled permanently in ladakh,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
and were given permission to open another in leh in 1885,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
andrade,3.0,0,3.0,0.00020559983644291994,0.0,0.0,0.05179183917817621
andrew roberts,2.0,0,2.0,0.00020559983644291994,0.0,0.0,6.372925458683856e-41
angora goat farm,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
angry ones,1.0,1.0,0,0.00022777666662739503,0.0,0.0004503152206544581,2.5300036368486513e-29
animal_husbandry,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.051239168501873
animals,5.0,1.0,4.0,0.000234715299885599,5.409191839693191e-07,0.0003002101471029721,0.00038697625914626925
animals into the enclosure and attach them to this rope,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
annapurna massif,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
annual festival of the oracles,1.0,1.0,0,0.0003134639711003763,0.0,0.0004002801961372961,8.880176631772613e-30
annual festivals of the various gompas,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
annual trade mission,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
anonymous and unsung engineers,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
another tashi namgyal,1.0,1.0,0,0.000234715299885599,0.0,0.0003002101471029721,0.0038890118762046986
anthropological and sociological research,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
antonio de andrade,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
any attempt to examine them more closely,1.0,1.0,0,0.0002803751659189775,0.0,0.0004002801961372961,6.679259047910415e-11
any of its parts,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
apart,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.004049143008476477
apartments at the top,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
approach to namika-la,1.0,0,1.0,0.00020559983644291994,0.0,0.0,5.794329594162642e-45
apricot trees,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
apricot_programme,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
apricots,5.0,4.0,1.0,0.0005899239538862837,3.6061278931287936e-07,0.0012008405884118883,4.3441540656370187e-35
"apricots, grain, walnuts, and white radish to trade for salt",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
archery and polo,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
archery festival,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
archetypal hero,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"are for the most part small farmers, or school masters, or shop-keepers, or are employed in the various departments of the district administration as office messengers, drivers or syces",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
area,2.0,2.0,0,0.0005549853977550687,0.0,0.0006004202942059442,8.194419496924599e-45
area from zoji-la roughly to present eastern border,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
areas within reach of irrigation,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
argali or nayan,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
arghon community,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
arghons,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"armed forces (army, air force and paramilitary forces)",1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
army,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
army and border roads organization,1.0,0,1.0,0.00020559983644291994,0.0,0.0,0.0002921608758152379
army officer,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
army to aid sultan of chigtan,1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,6.993386974287709e-40
array of pots and utensils,1.0,1.0,0,0.000529192240415289,0.0,0.0004002801961372961,5.794329594162642e-45
aryan group of languages,1.0,1.0,0,0.00029294622677095714,0.0,0.0003002101471029721,5.794329594162642e-45
as a commander,1.0,1.0,0,0.00027623906527130264,0.0,0.0004002801961372961,2.5122924166151962e-05
as a result of the awakening,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
as a separate entity,1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
as a veterinary surgeon,1.0,1.0,0,0.00022306911450852736,0.0,0.0003002101471029721,0.0039326050462470475
as refugees,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
as subject as anyone else to family tensions,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
ascent up the slopes,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
asia,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
asian_mass,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
asian_one,1.0,1.0,0,0.000529192240415289,0.0,0.0004002801961372961,5.794329594162642e-45
assistant,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
assistant commissioner of nyoma,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
association with government work,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
astrologers,2.0,0,2.0,0.00020559983644291994,0.0,0.0,8.194419496924599e-45
"at about 5400 metres, the highest plateau of its size in the world",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
at alchi,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
at any time during the heyday of the caravan trade,1.0,1.0,0,0.0002138002298474982,0.0,0.0005403782647853497,0.0004292339523851001
"at leh to prepare for the crossing of the karakoram, or to recover from it",1.0,1.0,0,0.0002638307633282781,0.0,0.0003002101471029721,4.818261828826402e-42
at tegur,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
at the end of august with a written commission from the king,1.0,1.0,0,0.0003673960384291045,0.0,0.0004002801961372961,4.818261828826402e-42
at various times in the relatively recent past,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
atisa,4.0,1.0,3.0,0.00029294622677095714,2.7045959198465955e-07,0.0003002101471029721,0.004221869054814018
atisa's intellectual brilliance,1.0,1.0,0,0.0002809400281756609,0.0,0.0008733386097541006,3.15136341585169e-30
atisa's teachings,1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
atmosphere,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
attack,1.0,1.0,0,0.00021479419331955544,0.0,0.0003002101471029721,0.004194634400455215
attendant goddesses,1.0,1.0,0,0.0003931339150343951,0.0,0.0007368794519800224,2.8972895084158908e-05
attitudes,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
aurangzeb,2.0,1.0,1.0,0.000225010145404706,9.015319732821984e-08,0.0003002101471029721,0.00042617495033492764
"auspicious occasion such as sowing, or the arrival of spring, and also when serving food to incarnate lamas, or to members of the aristocracy",1.0,1.0,0,0.00038029261709899437,0.0,0.0003002101471029721,2.1665043795340448e-49
auspicious time for any undertaking,1.0,1.0,0,0.00022777666662739503,0.0,0.0004503152206544581,2.5300036368486513e-29
authority,2.0,2.0,0,0.0003894869739756299,0.0,0.0006004202942059442,0.004217135028740573
autumn,1.0,0,1.0,0.00020559983644291994,0.0,0.0,2.1665043795340448e-49
"available to anyone with access to the literature of buddhism, or of central asian and tibetan travel",1.0,1.0,0,0.0002934591664701245,0.0,0.01489333282196216,0.051239168501873
avalokiteswara,3.0,1.0,2.0,0.0004434909545769071,1.4424511572515175e-06,0.0008005603922745922,0.0003965767496550338
