Place,Latitude,Longitude
Mukhiya,27.4654976,86.3018397
Jangé,10.2904903,12.1358057
Hela,54.6237094,18.7275009
Rohru,31.2258578,77.7340762
Narkanda,31.2547508,77.4612694
Kotyuri,29.8370888,79.2790389
chham,30.51041,78.38333
Cornhill,57.6116818,-2.696266
Salono,53.1230944,23.1653311
Yoté,34.6826624,-106.7318287
Ra,51.5092768,-0.1397381
Kotkhai,31.1569042,77.5310257
Zérs,32.7840932,-96.7792365
kalesha,14.0475391,78.7452102
Jodhpur,26.2967719,73.0351433
Jakhi,24.559814,80.7155611
N,-19.0536414,-169.861341
Naila,50.3296301,11.7084131
Indus,35.1195203,75.9778062
Chomoling,29.6566262,91.1300598
Sunta,12.2980168,22.4648789
Tibet,31.6692025,87.473225
Hinduism,-1.774487,120.5529836
Nais,47.6157266,0.4748204
Kharif,14.2328395,29.438801
Koti State,6.7466718,9.2163041
jand,48.1143493,22.3727019
Mountains,11.4432962,122.524724
Basal,46.074212,17.782339
thou,47.5790082,2.9076132
Chhatta,26.722973,78.569887
Weston,51.3471927,-2.9778916
Nakasi,-18.0640825,178.5195021
History,51.4965109,-0.1760019
Gramang,31.6054036,78.446331
Gobindpur,23.8736925,86.4673961
Anandpur,22.4978876,85.1467065
china,35.0000663,104.999955
Chhatrapati,19.877263,75.3390241
Séwan,40.5485209,44.957243
Barail,23.9562274,91.031292
Battan,43.4645328,-1.1463692
Lébrang,27.3926647,87.2549386
Jawdhar,24.4808201,54.4055755
Govern-,55.8008155,37.5272131
Nalagarh,31.1059814,76.6567018
Sharoli,31.1306744,77.7943343
Tirang,32.7545034,75.8285926
Ill,40.0796606,-89.4337288
Mashan,23.711318,108.1740267
N&han,-4.7116067,155.4289434
Allahabad,25.4381302,81.8338005
Bhajji,15.5914185,73.8103215
Kélka,-16.5082133,-68.2219509
INDIA,22.3511148,78.6677428
Lamas,-6.2655949,-76.5073652
Dhedar,32.2254993,75.161001
Kérali,22.8391362,70.6441058
Meetings,52.8944984,-6.2345329
Koti,11.4408325,-2.962989
CHAPITA,-15.629948,34.590099
IH,54.3151594,-1.9181532
bhauri,22.2716708,74.4193402
Kanchu,18.3714427,83.9362287
Deodar,34.3284185,-118.4654261
Kwéra,1.816667,32.983333
Kufri,31.1006627,77.2633837
Beja,38.0154479,-7.8650368
hunda,58.8545752,-2.9791941
Réjas,40.4448868,-3.5720332
Wakna,31.0093757,77.0814085
Néhan,47.6492871,-2.0844423
Dharm Chand,31.4698141,74.8518276
Khokre,28.6097513,81.6074348
Bhébé,11.2156272,123.1111583
Kiratpur,25.9952476,86.3651878
Samta,24.7503272,46.8144316
moon,58.5959044,23.2196461
Réwin,52.0677397,4.3000325
xewa,13.7083512,100.5458104
badan,39.263901,41.23241
Gudha,23.3676645,81.5188388
Hem,50.6540895,3.1839429
phati,32.4566727,76.2183487
Kosré,21.6497822,80.2950519
Téera,35.6892523,51.3896004
kwai,-4.7263012,38.343176
Bighal,36.4932107,38.1976189
funerais,-22.7540601,-47.4122719
Shaad,51.0673901,-1.3245385
Balthar,32.0047845,77.2441889
Hindustan,22.3511148,78.6677428
Westminster,51.5004439,-0.1265398
Nachar,13.1002824,80.2621827
Chirang,26.6464231,90.624157
115th,39.6744182,-95.5092497
Kuran,37.8057916,44.5009781
khayd,8.6253692,45.7372434
Shawé,38.7581151,-85.3882912
Jéth,53.1228132,5.6855968
Pabar,-2.8553556,133.4738171
Kashang,31.6043,78.18326
Khadrala,31.2608155,77.6276886
nullah,33.5251838,73.4039989
nett,7.0953281,158.246552
Surajgarh,28.297926,75.7311124
Bashahr,31.8016343,76.9875955
Mangal,38.2880587,35.9572327
Phitak,13.4860966,100.0382699
Urai,60.12912,64.803627
Gaora,33.1696718,74.3119204
Hér,34.1577182,62.2905676
Kuréna,58.4924867,24.5479127
Wéng,48.6574658,12.3686749
Joppa State,47.0060744,-122.9358133
Ab,55.001251,-115.002136
